Water level,Rainfall,Temperature,Pressure (hPa),Humidity,Flood probability
5.4,14,32,995,90,0.8
2.4,7,17,1016,55,0.15
3.1,9,21,1011,65,0.25
3.9,11,25,1006,75,0.4
4.7,13,29,1001,85,0.6
5.5,15,33,996,90,0.85
2.5,8,18,1017,60,0.15
3.2,10,22,1012,70,0.3
4,12,26,1007,80,0.45
4.8,14,30,1002,90,0.65
5.6,16,34,997,95,0.9
2.6,9,19,1018,65,0.2
3.3,11,23,1013,75,0.35
4.1,13,27,1008,85,0.5
4.9,15,31,1003,90,0.7
5.7,17,35,998,95,0.95
2.7,10,20,1014,60,0.25
3.4,12,24,1009,70,0.4
4.1,14,28,1004,80,0.6
4.9,16,32,999,90,0.8
5.7,18,36,994,95,0.95
2.8,11,21,1015,65,0.3
3.5,13,25,1010,75,0.45
4.2,15,29,1005,85,0.65
5,17,33,1000,90,0.85
5.8,19,37,995,95,0.95
2.9,12,22,1016,70,0.35
3.6,14,26,1011,80,0.5
4.3,16,30,1006,90,0.7
5.1,18,34,1001,95,0.9
5.9,20,38,996,95,0.95
3,13,23,1017,75,0.4
3.7,15,27,1012,85,0.55
4.4,17,31,1007,90,0.75
5.2,19,35,1002,95,0.9
6,21,39,997,95,0.95
3.6,18,22,1021,65,0.2
4.4,20,26,1016,70,0.35
5.2,22,30,1011,75,0.5
6,24,34,1006,80,0.65
6.8,26,38,1001,85,0.8
3.7,19,23,1022,60,0.25
4.5,21,27,1017,65,0.4
5.3,23,31,1012,70,0.55
6.1,25,35,1007,75,0.7
6.9,27,39,1002,80,0.85
3.8,20,24,1023,55,0.3
4.6,22,28,1018,60,0.45
5.4,24,32,1013,65,0.6
6.2,26,36,1008,70,0.75
7,28,40,1003,75,0.9
3.4,17,21,1020,60,0.15
4.2,19,25,1015,70,0.25
5,21,29,1010,75,0.4
3.6,18,22,1019,65,0.2
4.4,20,26,1014,70,0.35
5.2,22,30,1009,75,0.5
3.8,19,23,1018,60,0.25
4.6,21,27,1013,65,0.4
5.4,23,31,1008,70,0.55
4,20,24,1017,65,0.3
4.8,22,28,1012,70,0.45
5.6,24,32,1007,75,0.6
4.2,21,25,1016,60,0.35
5,23,29,1011,65,0.5
5.8,25,33,1006,70,0.65
4.4,22,26,1015,65,0.4
5.2,24,30,1010,70,0.55
6,26,34,1005,75,0.7
4.6,23,27,1014,60,0.45
5.4,25,31,1009,65,0.6
1.2,10.2,32,1013.2,80,0.2
1.1,9.8,31.8,1012.8,79,0.1
1.3,10.5,32.2,1013.6,81,0.3
1.4,11,32.5,1014,82,0.4
1.5,11.5,32.8,1014.4,83,0.5
1.6,12,33.1,1014.8,84,0.6
1.7,12.5,33.4,1015.2,85,0.7
1.8,13,33.7,1015.6,86,0.8
1.9,13.5,34,1016,87,0.9
2,14,34.3,1016.4,88,1
1.2,10.2,32,1013.2,80,0.2
1.1,9.8,31.8,1012.8,79,0.1
1.3,10.5,32.2,1013.6,81,0.3
1.4,11,32.5,1014,82,0.4
1.5,11.5,32.8,1014.4,83,0.5
1.6,12,33.1,1014.8,84,0.6
1.7,12.5,33.4,1015.2,85,0.7
1.8,13,33.7,1015.6,86,0.8
1.9,13.5,34,1016,87,0.9
2,14,34.3,1016.4,88,1
5.2,100,28,1010,80,0.7
4.8,80,30,1000,90,0.6
4.5,70,25,990,70,0.5
4.2,60,32,980,85,0.4
4,50,34,970,95,0.3
3.8,40,36,960,90,0.2
3.6,30,38,950,85,0.1
3.4,20,40,940,80,0
3.2,10,42,930,75,0
3,0,44,920,70,0
2.8,-10,46,910,65,0
2.6,-20,48,900,60,0
2.4,-30,50,890,55,0
2.2,-40,52,880,50,0
2,-50,54,870,45,0
1.8,-60,56,860,40,0
1.6,-70,58,850,35,0
1.4,-80,60,840,30,0
1.2,-90,62,830,25,0
1,-100,64,820,20,0
5.5,120,27,1010,85,0.75
5.1,100,29,1000,92,0.65
4.7,90,24,990,75,0.55
4.3,80,31,980,88,0.45
4.1,70,33,970,96,0.35
3.9,60,35,960,91,0.25
3.7,50,37,950,86,0.15
3.5,40,39,940,81,0.05
3.3,30,41,930,76,0
3.1,20,43,920,71,0
2.9,10,45,910,66,0
2.7,0,47,900,61,0
2.5,-10,49,890,56,0
2.3,-20,51,880,51,0
2.1,-30,53,870,46,0
1.9,-40,55,860,41,0
1.7,-50,57,850,36,0
1.5,-60,59,840,31,0
1.3,-70,61,830,26,0
1.1,-80,63,820,21,0
5.5,120,27,1010,85,0.75
5.1,100,29,1000,92,0.65
4.7,90,24,990,75,0.55
4.3,80,31,980,88,0.45
4.1,70,33,970,96,0.35
3.9,60,35,960,91,0.25
3.7,50,37,950,86,0.15
3.5,40,39,940,81,0.1
3.3,30,41,930,76,0.05
3.1,20,43,920,71,0.05
2.9,10,45,910,66,0.05
2.7,0,47,900,61,0.05
2.5,-10,49,890,56,0.05
2.3,-20,51,880,51,0.05
2.1,-30,53,870,46,0.05
1.9,-40,55,860,41,0.05
1.7,-50,57,850,36,0.05
1.5,-60,59,840,31,0.05
1.3,-70,61,830,26,0.05
1.1,-80,63,820,21,0.05
